"","carat","cut","color","clarity","depth","table","price","x","y","z"
"60",0.3,"Good","I","SI1",63.2,55,405,4.25,4.29,2.7
"129",0.91,"Fair","H","SI2",64.4,57,2763,6.11,6.09,3.93
"220",0.53,"Very Good","D","VVS2",57.5,64,2782,5.34,5.37,3.08
"314",0.61,"Ideal","G","IF",62.3,56,2800,5.43,5.45,3.39
"478",0.71,"Ideal","G","VS1",62.9,58,2820,5.66,5.69,3.57
"642",0.7,"Very Good","E","VS2",60.2,62,2843,5.71,5.75,3.45
"654",1.01,"Ideal","I","I1",61.5,57,2844,6.45,6.46,3.97
"660",1.27,"Premium","H","SI2",59.3,61,2845,7.12,7.05,4.2
"779",0.83,"Premium","E","SI2",59.2,60,2859,6.17,6.12,3.64
"795",0.79,"Premium","F","SI1",62.3,54,2862,5.97,5.91,3.7
"816",0.71,"Premium","H","VVS2",61.5,62,2863,5.74,5.68,3.51
"1199",0.91,"Premium","H","SI1",60.2,52,2935,6.27,6.15,3.74
"1235",0.71,"Premium","F","VS1",61.1,58,2942,5.76,5.72,3.51
"1362",1,"Fair","G","SI1",65.7,54,2964,6.24,6.16,4.07
"1506",0.72,"Ideal","D","SI1",61.1,59,2993,5.76,5.8,3.53
"1679",0.77,"Good","H","VVS2",57.9,61,3027,6.07,6.01,3.5
"1915",0.79,"Ideal","F","SI1",62,55,3081,5.93,5.95,3.68
"2065",0.32,"Premium","I","VVS2",61.9,59,561,4.35,4.38,2.7
"2105",0.8,"Good","F","VS1",63.3,55,3116,5.87,5.92,3.73
"2265",0.7,"Very Good","E","VS1",62.2,55,3154,5.65,5.67,3.52
"2405",0.67,"Very Good","G","VVS1",62,56,3178,5.6,5.62,3.48
"2648",0.83,"Ideal","E","SI1",62.7,57,3231,5.96,6.01,3.75
"2690",0.74,"Ideal","F","VS2",60.8,57,3246,5.85,5.87,3.56
"2857",0.9,"Very Good","I","SI1",61.7,58,3274,6.17,6.21,3.82
"2884",0.84,"Ideal","G","SI1",62.4,57,3279,6.06,6.03,3.77
"2913",0.8,"Premium","F","VS2",62.4,59,3285,5.92,5.85,3.67
"2961",1.07,"Very Good","H","SI2",61.8,63,3296,6.57,6.47,4.03
"3284",0.63,"Ideal","G","IF",61.9,56,3363,5.5,5.52,3.41
"3342",0.9,"Premium","I","SI1",63,60,3377,6.08,5.99,3.8
"3361",0.3,"Very Good","I","SI1",61.2,58,405,4.28,4.31,2.63
